head,tail,relation,label
磨料更换,前一级痕迹去除,N/A,条件
方法1,最后磨粒尺寸为#120或更细,N/A,要求
方法2,3.9节要求,N/A,执行依据
表面缺陷消除,磨削,N/A,可用方法
磨削消除缺陷,3.7.4.1要求,N/A,必须满足
磨削消除缺陷,3.7.4.2要求,N/A,必须满足
打磨区,平滑过渡,N/A,应满足
打磨区,液体渗透检验,N/A,应进行
打磨后局部厚度,公差范围内,N/A,应保持在
管道内外表面的机加工平整过度角,10°,N/A,最大不超过
主管道附件,通用管座,N/A,包括
主管道附件,勺型件,N/A,包括
主管道附件,DN25接管座,N/A,包括
主管道附件与主管道焊接,SMS-PLOl-Z0-201要求,N/A,应满足
坡口确定,主管道制造厂,N/A,由
坡口确定,主管道图纸,N/A,依据
坡口确定,焊接工艺评定经验,N/A,依据
坡口方案,设计方,N/A,必须经认可
管道内表面粗糙度, 3.2um,N/A,不大于
管道外表面粗糙度, 6.3um,N/A,不大于
勺型件,图纸要求,N/A,制造依据
勺型件,ASME标准样式,N/A,制造依据
ASME标准样式,ASME SCH160 DN80 HALF PIPE CAP,N/A,具体型号
DN25接管座,热套管用接管座,N/A,与
焊接接头外形设计,制造厂,N/A,责任方
焊接接头外形设计,设计方,N/A,需批准
批准时间点,施焊前,N/A,在
焊接后外形尺寸,图纸要求,N/A,应满足
焊接对象,DN25接管座,N/A,包括
焊接对象,热套管用接管座,N/A,包括
焊接对象,主管道,N/A,包括
主管道,结构尺寸,N/A,具有属性
主管道,粗糙度,N/A,具有属性
结构尺寸,本规格书,N/A,应满足
结构尺寸,SMS-PL01-V0-D01,N/A,应满足
粗糙度,本规格书,N/A,应满足
粗糙度,SMS-PL01-V0-D01,N/A,应满足
SMS-PL01-V0-D01,反应堆主冷却剂管道图册,N/A,全称为
主管道水压试验,系统水压试验,NA,可由替代
制造厂,系统水压试验相关问题,NA,负责
主管道内表面,丙酮_蒸馏水_白布擦拭,NA,清洗方法
主管道外表面,丙酮_蒸馏水_白布擦拭,NA,清洗方法
清洗效果,白布无变色,NA,标准
干燥用压缩空气,去除油分,NA,要求
干燥用压缩空气,去除水分,NA,要求
其他清洗方法,采购方,NA,需取得认可
主管道,不适用,NA,防腐涂层要求
主管道包装要求,ASME_NQA1,NA,应符合
主管道包装要求,订货合同要求,NA,应符合
主管道包装,出厂试验后,NA,执行时机
主管道包装,清洁度检查后,NA,执行时机
主管道包装,洁净厂房,NA,执行环境
管道端口,木盏密封,NA,保护方式
木盏密封,聚乙烯薄膜,NA,使用材料
聚乙烯薄膜,<50ppm,NA,氯离子要求
主管道,聚乙烯膜缠绕,NA,包装方式
主管道,密封聚乙烯袋,NA,最终包装
包装主管道,木箱存放,NA,存放方式
木箱,牢固,NA,强度要求
木箱,防雨,NA,防护要求
木箱,防潮,NA,防护要求
木箱,发货清单,NA,包含内容
管段固定,上下左右固定,NA,要求
管段固定,防止吊装窜动,NA,目的
主管道贮存,洁净库房,NA,环境要求
木箱开启,需许可,NA,要求
木箱标识,中英文,NA,语言要求
木箱标识,设备名称,NA,包含内容
木箱标识,组装件名称,NA,包含内容
木箱标识,图号,NA,包含内容
木箱标识,重量,NA,包含内容
木箱标识,起吊位置,NA,包含内容
木箱标识,制造厂名,NA,包含内容
木箱标识,出厂日期,NA,包含内容
木箱标识,发货到货信息,NA,包含内容
包装过程,业主代表,NA,见证要求
主管道标识,ASME_BPVC III,NA,依据标准
标识方法,低应力冲压,NA,技术特征
标识方法,不连续点,NA,形成效果
冷段,端部垂直切面,NA,标识位置
热段,端部垂直切面,NA,标识位置
铭牌,不锈钢,NA,材料要求
铭牌,熔炼炉号,NA,包含信息
铭牌,序列号,NA,包含信息
铭牌,ASME材料等级,NA,包含信息
铭牌,制造厂名称,NA,包含信息
铭牌,壁厚测量值,NA,包含信息
壁厚测量,距末端17300mm,NA,位置要求
壁厚测量,0.001mm,NA,精度要求
壁厚测量,四象限测量,NA,角度要求
铭牌,与管道分离,NA,运输方式
铭牌焊接,加工工厂,NA,执行方
吊装设备,不损坏主管道,NA,材料要求
吊装设备,不损坏主管道,NA,设计要求
吊装操作,不沾污主管道,NA,方式要求
贮存环境,含卤素材料,NA,禁止接触
贮存环境,非奥氏体不锈钢,NA,禁止接触
贮存环境,非镍基铁基金属,NA,禁止接触
运输环境,含卤素材料,NA,禁止接触
运输环境,非奥氏体不锈钢,NA,禁止接触
运输环境,非镍基铁基金属,NA,禁止接触
存档材料要求,采购方,NA,制定方
存档材料要求,业主,NA,制定方
存档材料要求,采购合同,NA,依据
存档材料,数量要求,NA,包含内容
存档材料,尺寸要求,NA,包含内容
制造厂,业主质保大纲,NA,应遵照
制造厂,质保体系,NA,应建立
制造厂,QA大纲,NA,应制定
制造厂,程序文件,NA,应制定
制造厂,主管部门审查,NA,接受
制造厂,业主监查,NA,接受
质量计划,锻件图审查,NA,包含控制点
锻件图审查,H点,NA,控制点类型
质量计划,化学成分分析,NA,包含控制点
化学成分分析,R点,NA,控制点类型
质量计划,固溶处理前机加工,NA,包含控制点
固溶处理前机加工,W点,NA,控制点类型
质量计划,中间尺寸检查,NA,包含控制点
中间尺寸检查,H点,NA,控制点类型
质量计划,弯制,NA,包含控制点
弯制,W点,NA,控制点类型
质量计划,主管道热处理,NA,包含控制点
主管道热处理,W点,NA,控制点类型
质量计划,最终尺寸检查,NA,包含控制点
最终尺寸检查,H点,NA,控制点类型
质量计划,材料性能试验,NA,包含控制点
材料性能试验,R点,NA,控制点类型
质量计划,非常规力学试验,NA,包含控制点
非常规力学试验,W点,NA,控制点类型
质量计划,无损检测,NA,包含控制点
无损检测,R点,NA,控制点类型
质量计划,表面粗糙度检验,NA,包含控制点
表面粗糙度检验,R点,NA,控制点类型
质量计划,最终尺寸检验,NA,包含控制点
最终尺寸检验,W点,NA,控制点类型
质量控制点,工程总包方代表,NA,见证方
制造厂,分包制造,NA,采用
分包方文件,制造厂文件,NA,需转化为
制造厂文件,采购方,NA,需提交批准
制造厂,主管道加工图纸,NA,提交批准
制造厂,材料检验取样图,NA,提交批准
制造厂,管段装箱结构图,NA,提交批准
图纸提交,合同签订后,NA,时间要求
制造厂,质保大纲,NA,提交批准
质保大纲,制造厂,NA,包含
质保大纲,分包厂,NA,包含
制造厂,质量计划,NA,提交批准
制造厂,进度计划,NA,提交批准
制造厂,标准规范目录,NA,提交批准
材料文件,热处理工艺规程,NA,包含
材料文件,化学成分分析规程,NA,包含
材料文件,材料补焊规程,NA,包含
材料文件,机械性能试验规程,NA,包含
材料文件,非常规力学试验方案,NA,包含
材料文件,晶间腐蚀试验规程,NA,包含
材料文件,PT检验规程,NA,包含
材料文件,RT检验规程,NA,包含
材料文件,锻件UT检验规程,NA,包含
制造文件,机加工工艺规程,NA,包含
制造文件,表面粗糙度检验规程,NA,包含
制造文件,管道弯制规程,NA,包含
制造文件,尺寸检查规程,NA,包含
制造文件,焊接工艺规程,NA,包含
制造文件,焊工资格证明,NA,包含
制造文件,无损检验人员资格,NA,包含
制造文件,焊接材料质量证明,NA,包含
制造文件,焊缝PT检验规程,NA,包含
制造文件,焊缝UT检验规程,NA,包含
制造文件,焊缝RT检验规程,NA,包含
制造文件,焊缝补焊规程,NA,包含
制造文件,清洗工艺规程,NA,包含
制造文件,清洁度检验规程,NA,包含
制造文件,包装运输规程,NA,包含
制造厂,合同规定文件,NA,提交批准
文件提交,不限于上述,NA,范围说明
材料文件,需批准文件,NA,类别
制造文件,需批准文件,NA,类别
质保大纲,需批准文件,NA,类别
制造厂,质量合格证书,NA,交货时提交
制造厂,主管道交工清单,NA,交货时提交
制造厂,材料合格证,NA,交货时提交
制造厂,材料质量证明,NA,交货时提交
制造厂,热处理报告,NA,交货时提交
制造厂,真应力应变曲线,NA,交货时提交
制造厂,断裂韧性曲线,NA,交货时提交
制造厂,疲劳裂纹扩展报告,NA,交货时提交
制造厂,材料复验报告,NA,交货时提交
制造厂,PT检验报告,NA,交货时提交
制造厂,UT检验报告,NA,交货时提交
制造厂,RT检验报告,NA,交货时提交
制造厂,晶粒度报告,NA,交货时提交
制造厂,晶间腐蚀报告,NA,交货时提交
制造厂,冷作硬化层报告,NA,交货时提交
制造厂,硬度试验报告,NA,交货时提交
制造厂,焊接工艺报告,NA,交货时提交
制造厂,焊接材料证书,NA,交货时提交
制造厂,无损检验报告,NA,交货时提交
制造厂,补焊工艺报告,NA,交货时提交
制造厂,最终尺寸报告,NA,交货时提交
制造厂,出厂验收报告,NA,交货时提交
制造厂,包装发货记录,NA,交货时提交
制造厂,不符合项报告,NA,交货时提交
制造厂,合同规定文件,NA,交货时提交
制造厂,制造大纲,NA,合同签订后提交
制造大纲,采购方,NA,需设计方协助批准
制造厂,锻件图,NA,合同签订后提交
锻件图,采购方,NA,需设计方协助批准
制造厂,弯制工艺规程,NA,合同签订后提交
弯制工艺规程,采购方,NA,需设计方协助批准
技术条件_SMS-PL01-VL-001,焊接坡口方案,NA,要求提交
技术条件_SMS-PL01-VL-001,外形尺寸图,NA,要求提交
制造厂,焊接坡口方案,NA,提交设计方批准
制造厂,外形尺寸图,NA,提交设计方批准
制造厂,相关文件,NA,提交设计方批准
制造厂,相关图纸,NA,提交设计方批准
质量合格证书,需法人签署,NA,属性
焊接材料证书,焊丝,NA,包含
焊接材料证书,焊条,NA,包含
焊接材料证书,熔剂,NA,包含
制造厂,设备规格书,NA,依据
制造厂,设计图纸,NA,依据
制造厂,主管道加工制造,NA,执行
制造厂,内部验收,NA,进行
内部验收,合格,NA,结果
内部验收,主管道,NA,对象
制造厂,采购方,NA,与
制造厂,最终验收方案,NA,共同确定
采购方,最终验收方案,NA,共同确定
最终验收方案,验收方法,NA,包含
最终验收方案,验收要求,NA,包含
最终验收方案,验收地点,NA,包含
最终验收方案,有效期限,NA,包含
最终验收方案,合同要求,NA,依据
主管道验收,验收标准,NA,采用标准
验收标准,设备规格书,NA,参照
验收标准,技术条件,NA,参照
验收标准,设计图纸,NA,参照
验收标准,合同,NA,参照
验收标准,合同规定文件,NA,参照
